id,name,year,pop,In,Out,Balance
10,Saarland,2011,999038.0,54470,28483,25987
10,Saarland,2012,995732.0,54983,29162,25821
10,Saarland,2013,991798.0,55254,29759,25495
10,Saarland,2014,989447.0,54864,30139,24725
10,Saarland,2015,989263.0,56151,30882,25269
10,Saarland,2016,997754.0,57120,32285,24835
10,Saarland,2017,995485.0,57580,32897,24683
10,Saarland,2018,992220.0,57892,33920,23972
10,Saarland,2019,988258.0,57365,34516,22849
11,Berlin,2011,3296899.0,248267,145486,102781
11,Berlin,2012,3345108.0,253783,150960,102823
11,Berlin,2013,3394130.0,257954,153736,104218
11,Berlin,2014,3440991.0,266952,157464,109488
11,Berlin,2015,3484995.0,277487,166373,111114
11,Berlin,2016,3550948.0,295838,174263,121575
11,Berlin,2017,3592059.0,309375,179977,129398
11,Berlin,2018,3624930.0,321219,185723,135496
11,Berlin,2019,3652640.0,333859,187147,146712
12,Brandenburg,2011,2455353.0,116444,255052,-138608
12,Brandenburg,2012,2450319.0,120279,259521,-139242
12,Brandenburg,2013,2447481.0,123505,263223,-139718
12,Brandenburg,2014,2451078.0,126123,266492,-140369
12,Brandenburg,2015,2464526.0,133523,272761,-139238
12,Brandenburg,2016,2487511.0,141220,278649,-137429
12,Brandenburg,2017,2497958.0,147506,286092,-138586
12,Brandenburg,2018,2506578.0,153366,292335,-138969
12,Brandenburg,2019,2516200.0,154403,299056,-144653
13,Mecklenburg-Vorpommern,2011,1609696.0,23769,75186,-51417
13,Mecklenburg-Vorpommern,2012,1602954.0,24050,74477,-50427
13,Mecklenburg-Vorpommern,2013,1596899.0,24362,72722,-48360
13,Mecklenburg-Vorpommern,2014,1597321.0,25334,72516,-47182
13,Mecklenburg-Vorpommern,2015,1600599.0,26434,72696,-46262
13,Mecklenburg-Vorpommern,2016,1608838.0,29566,74317,-44751
13,Mecklenburg-Vorpommern,2017,1610788.0,31383,74871,-43488
13,Mecklenburg-Vorpommern,2018,1609559.0,32198,75581,-43383
13,Mecklenburg-Vorpommern,2019,1609062.0,33122,75969,-42847
14,Sachsen,2011,4054859.0,86995,131944,-44949
14,Sachsen,2012,4046079.0,89774,132961,-43187
14,Sachsen,2013,4041663.0,92237,131561,-39324
14,Sachsen,2014,4045543.0,97660,131858,-34198
14,Sachsen,2015,4055888.0,105053,133674,-28621
14,Sachsen,2016,4078397.0,114869,136907,-22038
14,Sachsen,2017,4077464.0,119992,138825,-18833
14,Sachsen,2018,4075262.0,126906,139593,-12687
14,Sachsen,2019,4072660.0,128455,140583,-12128
15,Sachsen-Anhalt,2011,2284960.0,58745,134684,-75939
15,Sachsen-Anhalt,2012,2266501.0,58622,135385,-76763
15,Sachsen-Anhalt,2013,2248917.0,58938,136000,-77062
15,Sachsen-Anhalt,2014,2237911.0,59860,138020,-78160
15,Sachsen-Anhalt,2015,2231044.0,62175,141172,-78997
15,Sachsen-Anhalt,2016,2239428.0,66909,142853,-75944
15,Sachsen-Anhalt,2017,2229687.0,67778,143870,-76092
15,Sachsen-Anhalt,2018,2213881.0,69354,143705,-74351
15,Sachsen-Anhalt,2019,2200288.0,69922,143556,-73634
16,Thüringen,2011,2187128.0,53001,128952,-75951
16,Thüringen,2012,2175035.0,55971,127824,-71853
16,Thüringen,2013,2163683.0,57264,125727,-68463
16,Thüringen,2014,2156622.0,60391,124160,-63769
16,Thüringen,2015,2154816.0,64010,124027,-60017
16,Thüringen,2016,2160943.0,67330,125188,-57858
16,Thüringen,2017,2153499.0,69345,125146,-55801
16,Thüringen,2018,2145460.0,69558,125227,-55669
